name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
김영웅,Lions (KBO),3루,99.94697647,2.613031524,2.419698191,423,490,122,22,0,7,54,1,6,3,3,73,10,11,2,67,53,0.2589928058,0.3239740821,0.4892086331,0.8131827152,0.3474659297,-0.03298074228,0.644283481,5.565868667,0.3856791695,0.1933333333
박건우,Dinos (KBO),우익,143.4581742,3.405248589,3.857748589,323,373,86,16,0,13,41,5,3,0,1,69,7,2,0,56,54,0.3436532508,0.408839779,0.5417956656,0.9506354446,0.4134961307,21.08889698,0.7368046632,4.215297023,-1.34821576,-0.4525
장성우,Wiz (KBO),포수,104.6835014,2.877647071,2.046397071,323,362,111,23,1,13,30,4,2,0,3,54,7,4,0,58,53,0.2658959538,0.351758794,0.4306358382,0.7823946321,0.3546538195,2.505055615,0.7350492372,3.080870836,-2.726134139,0.8312499999
문성주,Twins (KBO),좌익,124.5866177,2.242458768,2.657458768,346,400,92,15,0,14,48,0,4,1,1,72,6,4,0,38,60,0.3176895307,0.419939577,0.3898916968,0.8098312738,0.3848576943,10.94235224,-1.296674318,5.497476863,0.3289097557,-0.415
이재현,Lions (KBO),유격,103.6038712,2.294729006,1.834729006,277,332,88,16,2,0,49,2,3,1,0,34,4,13,7,44,46,0.2679127726,0.3532608696,0.4392523364,0.792513206,0.353015432,1.77783274,0.3414857993,3.322320264,-2.172028478,0.46
정수빈,Bears (KBO),중견,98.51224593,3.359898964,3.146982297,433,515,122,17,3,3,62,6,6,7,1,56,8,46,10,83,35,0.2820512821,0.376984127,0.3566433566,0.7336274836,0.3452886615,-1.019121273,3.637334806,7.175235111,3.301609436,0.2129166667
양의지,Bears (KBO),포수,125.8937165,4.104547614,3.221214281,380,425,121,15,0,15,27,7,6,0,5,49,13,2,0,47,85,0.3192612137,0.3773584906,0.4775725594,0.8549310499,0.3868412756,14.71750067,0.3268572491,2.322574352,-4.032215109,0.8833333332
노시환,Eagles (KBO),3루,115.2128448,3.777057263,3.570807263,427,495,126,30,3,15,50,1,11,3,3,88,10,6,6,61,74,0.2801822323,0.3575757576,0.4783599089,0.8359356665,0.370632572,10.09460785,1.123931539,5.064837114,-0.2604667547,0.20625
문보경,Twins (KBO),3루,120.9453671,3.625054055,3.420470722,362,402,111,22,3,11,34,1,5,0,0,61,7,4,2,61,66,0.2955082742,0.3668032787,0.4799054374,0.846708716,0.3793319327,13.78615916,-2.154802292,3.993425278,-1.976649649,0.2045833333
손호영,Giants (KBO),3루,139.0186456,3.113428335,2.989678335,431,481,128,19,1,2,36,1,6,6,1,37,7,15,10,66,44,0.3272727273,0.3682432432,0.5672727273,0.9355159705,0.4067589462,15.53468524,-0.8283428729,5.64498816,0.3404409809,0.12375
고승민,Giants (KBO),2루,116.7408307,2.955315602,2.789898935,279,301,91,20,2,15,12,6,2,1,1,46,4,7,4,51,62,0.3053221289,0.362720403,0.4733893557,0.8361097588,0.3729513593,8.909253769,-0.356886803,4.857255809,-0.5033776149,0.1654166667
데이비슨,Dinos (KBO),1루,136.6337982,3.153005762,4.105089095,407,462,118,16,0,37,30,14,6,0,5,117,10,0,1,74,95,0.2910447761,0.363238512,0.6069651741,0.9702036862,0.403139833,22.44253791,-0.6097484989,2.058593515,-3.631898462,-0.9520833332
박찬호,Tigers (KBO),유격,81.50560733,1.495388176,0.8991381758,443,499,124,17,1,23,38,9,2,0,7,108,5,6,0,82,78,0.2950819672,0.3481953291,0.3583138173,0.7065091464,0.3194803219,-11.82584743,-2.548036644,4.923453355,-0.4847341656,0.59625
문상철,Wiz (KBO),1루,102.4116968,0.8567138511,1.554630518,288,338,72,7,0,14,38,7,2,1,2,74,8,3,1,41,45,0.2508710801,0.3502994012,0.4216027875,0.7719021887,0.3512062537,1.083032104,-0.001556510783,2.839026815,-2.285170417,-0.6979166666
양석환,Bears (KBO),1루,117.5190126,2.383066348,3.449733014,290,338,73,21,1,6,41,4,1,2,0,85,6,12,4,49,45,0.25708061,0.328125,0.4967320261,0.8248570261,0.3741322855,12.02412287,-0.7063656751,3.396815117,-2.420427056,-1.066666666
강백호,Wiz (KBO),지명,117.9077778,2.112269692,3.649353026,478,531,138,21,0,25,45,3,2,0,3,112,6,5,2,77,86,0.2890295359,0.3567362429,0.4894514768,0.8461877197,0.3747222541,12.65103712,-0.1750262052,3.768215781,-2.332480653,-1.537083334
오지환,Twins (KBO),유격,101.6412085,2.184588014,1.765838014,271,321,69,10,1,20,28,15,3,4,0,95,4,9,2,53,53,0.2508710801,0.3513513514,0.393728223,0.7450795743,0.350037003,0.7370252818,0.1617097129,5.253833573,0.009645140529,0.41875
이성규,Lions (KBO),우익,114.7576969,1.953636583,2.354886583,311,348,95,19,3,10,26,3,6,1,1,60,5,3,3,43,48,0.2546125461,0.3533123028,0.520295203,0.8736075058,0.3699418645,6.350346701,0.6594971732,5.89649863,0.4890219529,-0.40125
라모스,Bears (KBO),우익,120.4357122,2.070817268,2.505817268,463,516,118,24,1,28,43,6,3,0,1,115,14,5,3,71,90,0.3054662379,0.3602305476,0.4823151125,0.8425456601,0.3785585084,9.533290811,-1.093492551,4.527381671,-0.7816255801,-0.435
최원준,Tigers (KBO),중견,105.1111203,2.853549394,2.667716061,388,448,112,21,3,8,44,8,2,6,0,61,6,21,8,66,51,0.2894056848,0.3704545455,0.4211886305,0.7916431759,0.3553027503,3.05579895,-0.2490788998,6.374282712,1.570440561,0.1858333333
윤동희,Giants (KBO),중견,112.7605158,3.262937056,3.060437056,425,490,123,27,3,12,54,3,5,2,1,86,8,6,5,82,65,0.2874109264,0.3698347107,0.4441805226,0.8140152333,0.3669110523,8.313393095,-1.612930266,4.996911693,-0.3960922655,0.2025
최형우,Tigers (KBO),지명,118.8142521,1.712940461,2.935023795,367,419,103,21,2,19,40,5,3,0,4,73,4,1,1,59,93,0.280653951,0.3627684964,0.5040871935,0.8668556899,0.3760978696,10.56756188,-0.4085782149,3.859630209,-1.758745721,-1.222083333
안치홍,Eagles (KBO),지명,114.6654268,1.514064227,2.858647561,399,468,105,20,0,24,52,5,9,0,3,146,7,1,1,63,77,0.3004926108,0.3739130435,0.4285714286,0.802484472,0.3698018405,9.062947203,-0.5767816312,3.303883857,-2.949689964,-1.344583333
최지훈,Landers (KBO),중견,96.91879496,3.47956249,3.261645823,465,523,127,21,7,11,48,2,2,6,0,68,5,32,5,86,47,0.2731182796,0.3423597679,0.4193548387,0.7617146066,0.3428705279,-2.160210674,3.586484592,8.414396601,5.040184314,0.2179166667
신민재,Twins (KBO),2루,100.8355581,2.906213287,2.72579662,406,461,122,16,0,12,43,6,4,1,1,62,6,3,2,59,58,0.2949438202,0.3966745843,0.3511235955,0.7477981798,0.3488143922,0.4849962226,1.192665098,7.780149925,3.930304878,0.1804166667
김재환,Bears (KBO),지명,122.7627688,1.964052916,3.31738625,328,375,91,13,3,4,33,6,1,7,0,51,11,3,2,51,41,0.2632911392,0.3534482759,0.4886075949,0.8420558708,0.3820899215,14.15848831,-0.415599919,2.452598325,-3.769025895,-1.353333333
김상수,Wiz (KBO),유격,89.33265866,1.665906655,1.197156655,316,356,94,21,1,14,32,3,4,1,0,58,8,3,1,40,63,0.2774390244,0.3532608696,0.3719512195,0.7252120891,0.3313582246,-5.362425581,-0.557471945,4.516896545,-0.8585359209,0.46875
황성빈,Giants (KBO),중견,110.6077103,3.186132863,3.053632863,359,437,105,10,5,0,58,4,3,12,1,44,7,31,9,72,38,0.3229166667,0.3738019169,0.4479166667,0.8217185836,0.3636440732,4.521917045,3.77140107,11.402732,6.343010518,0.1325
전준우,Giants (KBO),지명,123.9882417,1.641921493,2.66858816,226,290,58,10,0,4,31,21,6,6,0,44,8,0,0,30,33,0.2971246006,0.3618233618,0.5047923323,0.8666156941,0.3839496318,11.31917824,0.0001989152387,3.195390869,-2.233495554,-1.026666667
최재훈,Eagles (KBO),포수,105.3659195,1.987288819,1.385205486,183,215,49,11,2,1,23,3,2,4,0,30,3,2,0,30,17,0.2566371681,0.3886925795,0.3539823009,0.7426748804,0.3556894196,2.07881487,-0.0561736327,2.161426565,-2.620586375,0.6020833332
한준수,Tigers (KBO),포수,104.7682301,1.838274361,1.269524361,292,322,93,10,7,4,22,2,1,5,0,43,2,41,8,79,24,0.3117408907,0.3553113553,0.4534412955,0.8087526509,0.3547823991,1.744992934,-0.04154508251,2.290909091,-2.658204241,0.5687499999
최인호,Eagles (KBO),좌익,93.46014008,0.6794628164,0.9482128164,276,310,94,12,1,1,28,1,2,2,1,40,8,3,1,33,27,0.2677595628,0.355450237,0.3661202186,0.7215704555,0.3376218634,-1.884867059,0.3643063376,5.600369197,0.2526888851,-0.26875
나성범,Tigers (KBO),우익,114.1115743,1.739063617,2.202813617,331,375,96,16,1,17,33,3,6,0,1,87,7,0,0,42,71,0.2874617737,0.3540540541,0.498470948,0.8525250021,0.3689613444,7.018158841,-0.0561736327,2.105866618,-3.483849043,-0.46375
박준영,Bears (KBO),유격,97.191542,1.218007885,0.9655078847,249,275,77,20,0,5,17,2,6,0,1,42,6,0,0,33,35,0.2329545455,0.3233830846,0.4204545455,0.74383763,0.3432844338,-0.7604893247,0.3719131837,5.142023882,-0.05634501209,0.2525
이지영,Landers (KBO),포수,67.23149656,0.9143448447,0.2039281781,319,344,88,10,1,4,13,5,2,5,0,27,8,6,1,39,37,0.2753164557,0.3125,0.3417721519,0.6542721519,0.2978187163,-14.97906843,0.6001989152,4.586293624,-0.6318487053,0.7104166666
이용규,Heroes (KBO),중견,123.5050733,1.832780899,1.738197566,368,421,100,15,3,10,40,11,1,0,1,94,4,2,0,70,46,0.306010929,0.4285714286,0.3715846995,0.800156128,0.383216402,7.152556309,-0.7445988208,4.796871942,-0.3759818303,0.09458333334
김기연,Bears (KBO),포수,97.61670341,1.26697242,0.7753057532,176,202,41,8,2,7,21,3,1,1,0,53,3,2,0,25,27,0.2904761905,0.3504273504,0.3952380952,0.7456654457,0.3439296354,-0.7539870969,-1.132895981,2.325470183,-2.16005939,0.4916666666
윤정빈,Lions (KBO),우익,128.1024088,0.9396971614,1.123447161,183,227,56,5,2,1,31,9,1,3,0,33,4,2,2,27,12,0.3095238095,0.3945578231,0.4761904762,0.8707482993,0.3901930655,5.537767265,-1.467746303,4.849683512,-0.1855493481,-0.18375
김민혁,Wiz (KBO),좌익,110.8875418,1.359519197,1.740769197,213,239,62,10,0,4,19,2,3,2,0,39,4,0,2,26,29,0.3345588235,0.396039604,0.3970588235,0.7930984275,0.36406873,4.45147045,-0.007993072863,3.290806617,-2.285785408,-0.38125
이주형,Heroes (KBO),우익,106.0286442,1.97331724,2.49456724,126,147,39,4,1,5,16,3,2,0,0,36,0,1,3,21,17,0.2692307692,0.3597122302,0.4065934066,0.7663056368,0.3566951342,3.369997117,0.3286126751,5.552269833,0.3970626116,-0.52125
조수행,Bears (KBO),좌익,60.65155799,0.6009752349,1.013475235,410,471,104,10,6,4,39,9,8,5,0,87,3,36,10,59,49,0.2676056338,0.3333333333,0.2922535211,0.6255868545,0.2878333634,-17.40665412,7.715613665,8.673121734,3.325792804,-0.4125
박해민,Twins (KBO),중견,74.66955911,1.506250331,1.311250331,394,447,100,19,1,14,36,7,5,4,1,100,15,3,2,63,56,0.2549019608,0.3261339093,0.3382352941,0.6643692034,0.309106311,-15.89140956,1.657814776,8.327358495,3.946098095,0.195
황영묵,Eagles (KBO),2루,99.82867439,1.465313637,1.332813637,296,322,90,7,4,3,18,4,1,3,0,42,4,3,6,44,31,0.3082191781,0.3555555556,0.3904109589,0.7459665145,0.3472864009,-0.07303368869,-2.736662889,5.484704661,0.2378329488,0.1325
김휘집,Dinos (KBO),유격,83.85487319,1.507017233,0.9545172326,286,332,76,3,2,0,27,2,4,12,1,48,2,58,7,52,27,0.2538461538,0.3242009132,0.4076923077,0.7318932209,0.3230454386,-9.566157973,-0.556301661,3.217495992,-2.43236804,0.5525
채은성,Eagles (KBO),1루,110.3659967,1.375950646,2.221783979,364,406,100,21,0,17,33,5,3,0,1,69,9,1,1,49,73,0.2747252747,0.342364532,0.4725274725,0.8148920045,0.3632772618,5.641712072,-0.4050673628,2.38343064,-3.318804914,-0.8458333332
김태군,Tigers (KBO),포수,84.94514825,0.9121635279,0.4267468613,152,168,45,3,3,1,13,1,0,2,0,40,1,10,5,31,13,0.2745098039,0.3392857143,0.4068627451,0.7461484594,0.3246999801,-4.702255497,-0.03686394646,0.8387827858,-2.643411944,0.4854166666
추신수,Landers (KBO),지명,114.3828528,1.055785366,1.860785366,229,276,67,12,0,5,36,4,5,2,0,62,2,5,1,38,34,0.2925764192,0.3905109489,0.4104803493,0.8009912983,0.3693730218,5.321424895,0.4007840572,4.301835038,-0.9143552914,-0.8050000001
맥키넌,Lions (KBO),1루,104.8381343,0.7991189052,1.455368905,206,235,56,6,0,7,11,9,0,9,0,22,12,0,0,21,31,0.2941176471,0.380952381,0.3860294118,0.7669817927,0.3548884818,2.042971425,0.1414857993,2.304670947,-3.380768174,-0.6562499999
